,home_name,away_name,predicted_winner
0,Chicago White Sox,Detroit Tigers,Home Team
1,Cincinnati Reds,Milwaukee Brewers,Home Team
2,Colorado Rockies,Houston Astros,Away Team
3,Kansas City Royals,Cleveland Indians,Away Team
4,Los Angeles Dodgers,Arizona Diamondbacks,Home Team
5,New York Mets,New York Yankees,Away Team
6,Oakland Athletics,Minnesota Twins,Away Team
7,Pittsburgh Pirates,Chicago Cubs,Away Team
8,Seattle Mariners,St. Louis Cardinals,Away Team
9,Tampa Bay Rays,Baltimore Orioles,Home Team
10,Toronto Blue Jays,Boston Red Sox,Away Team
